Soil_Quality,Seed_Variety,Fertilizer_Amount_kg_per_hectare,Sunny_Days,Rainfall_mm,Irrigation_Schedule,Yield_kg_per_hectare
96.41565739594589,1,147.85304018679687,94.5939259380571,444.2675688543806,3,683.7591188204516
92.3526258633525,0,281.5653960836644,90.50464359508914,517.5854911669044,7,678.7148605635907
63.714785192137576,1,137.86493988499882,97.3293401651751,420.3109447989431,8,934.6919749097827
90.08425561836151,1,100.9466590382307,113.40482838094617,547.8176464264603,7,905.8425406975226
81.60034064255737,1,223.08890780383368,83.04817645095157,434.72633258282053,6,897.5846653925028
65.39434272919196,1,104.48488862383851,95.92214021766272,462.0361530304448,4,634.9782126125027
71.035411878047,1,78.52308906955597,80.59134952124452,536.4573535000462,3,593.5453750204518
69.33588645200462,1,135.92276947233282,119.82700420599684,384.3503804492968,2,750.353032543416
86.42475794608177,1,165.7041494621715,98.06989877390895,553.2765851854829,5,803.0086544751367
60.884139081035286,0,88.22081079201331,91.64594317404435,624.4553012101238,8,461.78859581874514
85.71499231468718,1,153.96026710297843,108.14193160153991,492.6746894039553,5,819.2386208299946
75.32484101725137,1,184.99010279897203,108.85150183891925,206.46191596563227,5,932.3365798878298
58.439943674104796,1,277.2057405785496,116.24761466468708,371.185240569641,7,1106.0992831449616
70.36883778532618,0,279.9591859307165,102.97893869000002,412.5544759474112,7,785.984797937323
87.66249818579486,1,282.71383448052586,97.23178846601357,522.1010125820768,6,1049.2448614212935
77.14188136497305,0,286.1603009056254,89.06295654717476,650.7771585169787,5,436.2701602926131
71.5716946798246,0,91.8266276935573,101.39228923869598,494.69650008246174,5,372.0940743929274
80.45820264149134,0,233.57687302105523,86.07963494798602,553.9258831114633,6,520.6965281030526
78.76662886655512,1,239.54934929685112,101.53371183236423,429.347367265058,3,698.1650381126811
79.89172143363976,1,97.39921074315762,105.69737214416293,422.07171875445135,3,697.618991467517
66.01587257460358,1,141.1534023066724,101.71228185878802,562.5556046534084,3,704.3050094533735
52.627809521260446,1,130.98610259851648,110.26894010317177,431.0601006546928,8,911.6843309582331
70.55323293091556,1,159.06710781562873,101.80155291558972,404.41376740199587,4,853.1403925843894
86.50549861125307,1,255.38406963683786,108.48250280779698,477.74116944012263,4,876.0838456622125
83.85146795053393,1,133.72628955822134,97.19608990214195,547.8295911768764,6,877.4255501512201
53.630003327380265,1,298.46915324696835,100.00732801909375,489.8564298690722,9,1069.6258849384992
